userId,wine,color,grapes,appellation,category,rate,aromaKeys,sweetness,body,intensity,acidity,depth,clarity,vintage,hue,tannins
e336887b-883b-4d9a-8cd3-060c25856bfb,Chateau coufran,Red,"Merlot, Cabernet Sauvignon",Grand vin de Bordeaux - AOC HAUT-MÉDOC,MediumRed,3,"plum, sour-cherry, violet, black-pepper, liquorice, vanilla, tobacco",Bone Dry,Medium Full,Aromatic,Crisp,,Clear,2009.0,,Dry Tannins
e336887b-883b-4d9a-8cd3-060c25856bfb,Le caillou - Le truffe noire,Red,Merlot,IGP Perigord,BoldRed,3,"red-cherry, black-cherry, black-plum, caramel, vanilla",Bone Dry,Full Bodied,Aromatic,Fresh,Medium,Clear,,Purplish,Dry Tannins
d1289631-2bf5-44ca-aa36-9340e2e733af,Matteo Braidot,White,,,,4,,Dry,Medium Full,Moderate,Fresh,Pale,Clear,,Greenish,Round
2ca37f5d-ecd7-4194-9688-90c5ee6d3792,"Ionos, Dry White",White,,,,4,"apple, lime",Dry,Light,Moderate,Smooth,Dark,Clear,2021.0,Greenish,
2ca37f5d-ecd7-4194-9688-90c5ee6d3792,"Ionos, Roditis-SYrah",Rose,,,,3,red-cherry,Dry,Light,Moderate,Smooth,Medium,Clear,2021.0,Salmon,
6ff6fb75-4fe9-453f-9c7d-c6ff63ada901,Morandina Valpolicella Ripasso Superiore,Red,"Corvina, Rondinella, Corvinone",Valpolicella Ripasso,MediumRed,5,peach,Medium Sweet,Medium Full,Aromatic,Crisp,Medium,Slight Haze,,Ruby,Round
6ff6fb75-4fe9-453f-9c7d-c6ff63ada901,Friulano Friuli Isonzo,White,Friulano,Friuli Isonzo,,3,hawthorn,Dry,Medium Full,Moderate,Crisp,Pale,Slight Haze,,Straw Yellow,Not Present
06614f69-5a3a-455d-924b-6102e0958c6b,Vigna Kastelaz Gewürztraminer,White,Gewürztraminer,Südtirol - Alto Adige,SweetWhite,4,,,,,,,,,,
91cf68cc-9436-43e1-871d-33beef4d2337,Alsace Josmeyer Gewurztraminer Biodynamic,White,Gewürztraminer,Biodynamic,,4,"honey, lychee, chamomile, pear, peach, ginger, mango",Dry,Light,Aromatic,Smooth,Dark,Clear,2016.0,Straw Yellow,Dry Tannins
91cf68cc-9436-43e1-871d-33beef4d2337,Domaine des Cassiers Pouilly-Fumé,White,Sauvignon Blanc,Pouilly-Fumé,LightWhite,3,"peach, lychee, mango, honey, jasmine",Dry,Medium Full,Aromatic,Fresh,Medium,Clear,2017.0,Gold,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Kellermeister Barossa Vineyards,Red,Shiraz/Syrah,,,2,"oak, blackberry, vanilla, chocolate",Dry,Medium Full,Moderate,Crisp,Dark,Slight Haze,2014.0,Garnet,Dry Tannins
91cf68cc-9436-43e1-871d-33beef4d2337,Hermitage,Red,Shiraz/Syrah,Hermitage,BoldRed,2,"black-pepper, liquorice, blackberry, smoke, vanilla",Dry,,Moderate,Fresh,Medium,Clear,2017.0,Ruby,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Legitimo Carinena,Red,"Tempranillo, Carignan, Grenache",Carinena,BoldRed,2,"redcurrant, red-cherry, cranberry, red-plum",Dry,Medium Full,Moderate,Crisp,Dark,Slight Haze,2014.0,Garnet,Dry Tannins
91cf68cc-9436-43e1-871d-33beef4d2337,St. Hallett Barossa,White,Riesling,,,2,"lemon, pear, honey, petroleum",Dry,Light,Moderate,Crisp,Pale,Clear,2019.0,Greenish,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Bubbly Pinot Grigio (Champagne),White,Pinot Grigio,California,Sparkling,2,"apple, lemon, lime, jasmine",Dry,Light,Low,Fresh,Pale,Clear,2016.0,Gold,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Chianti Rùfina Riserva,Red,"Sangiovese, Tempranillo, Malvasia, Colorino del Valdarno, Malvasia Nera, Cabernet Sauvignon, Merlot",Chianti Rùfina,,3,"meaty, red-cherry, liquorice, vanilla",Dry,Medium Full,Moderate,Fresh,Medium,Clear,2016.0,Purplish,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Vistamar Cabernet Sauvignon Reserva,Red,Cabernet Sauvignon,,MediumRed,1,blackcurrant,Bone Dry,Medium Full,Moderate,Tart,Medium,Slight Haze,2017.0,Ruby,Hard
91cf68cc-9436-43e1-871d-33beef4d2337,Sacred Hill Whitecliff Marlborough,White,Sauvignon Blanc,,,2,"guava, grass, honey, lime, ball-pepper, lemon",Dry,Light,Moderate,Crisp,Pale,Clear,2019.0,Greenish,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Sacred Hill Pinot Noir,Red,Pinot Noir,,,2,"wet-leaf, wet-stone, strawberry, red-cherry",Dry,Light,Low,Smooth,Medium,Clear,2018.0,Garnet,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Bella Cabernet Sauvignon,Red,Cabernet Sauvignon,,,2,"raspberry, cherry, cranberry, vanilla",Dry,Medium Full,Moderate,Fresh,Medium,Slight Haze,2017.0,Ruby,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Chateau De La Riviere Sauvignon Blanc,White,Sauvignon Blanc,,RichWhite,3,"honey, jasmine, guava, pear, lemon, red-plum",Dry,Full Bodied,Aromatic,Crisp,Pale,Clear,2019.0,Straw Yellow,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Pinot Grigio,White,Pinot Grigio,delle Venezie,LightWhite,2,"jasmine, pear, honey, lemon",Dry,Light,Moderate,Crisp,Pale,Clear,2018.0,Greenish,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Beppe Marino Barbera d'Asti Superiore DOCG,Red,,,,3,"cheese, liquorice, red-plum, preserved-fruits, vanilla, cinnamon, smoke",Dry,Medium Full,Moderate,Fresh,Dark,Clear,2012.0,Ruby,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Domaine Grand Veneur Blanc de Viogier,White,Viognier,,,3,"jasmine, honey, peach, pear, walnut, cream",Dry,Full Bodied,Moderate,Smooth,Medium,Clear,2018.0,Straw Yellow,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Chateau Dereszla Tokaji Aszu 5 Puttonyos,White,Furmint,,,5,"honey, chamomile, pear, peach, lychee, preserved-fruits",Very Sweet,Full Bodied,Aromatic,Smooth,Medium,Clear,2013.0,Gold,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Finca Bacara 3015 Jumilla,Red,Monastrell,,MediumRed,4,"red-plum, raspberry, blackcurrant, black-plum, pepper",Dry,Medium Full,Moderate,Fresh,Medium,Clear,2018.0,Ruby,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Châteauneuf-du-Pape,Red,"Shiraz/Syrah, Grenache, Mourvedre, Cinsault",Châteauneuf-du-Pape,,3,"red-cherry, cinnamon, cheese, chocolate, tea, meaty",Dry,Full Bodied,Aromatic,Crisp,Dark,Slight Haze,2016.0,Ruby,Dry Tannins
91cf68cc-9436-43e1-871d-33beef4d2337,Louis Michel & Fils Chablis Premier Cru,White,Chardonnay,Chablis Premier Cru,RichWhite,3,"pineapple, jasmine, honey, cream, butter",Dry,Medium Full,Aromatic,Fresh,Medium,Clear,2016.0,Straw Yellow,Round
91cf68cc-9436-43e1-871d-33beef4d2337,E. Guigal Cotes du Rhone Blended,Red,,,,2,"strawberry, banana",Dry,Medium Full,Moderate,Fresh,Medium,Clear,2016.0,Ruby,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Gran Malbec,Red,Malbec,Vista Flores,BoldRed,2,"blackberry, grass, chocolate, vanilla, cream",Dry,Medium Full,Moderate,Smooth,Dark,Slight Haze,2014.0,Purplish,Round
91cf68cc-9436-43e1-871d-33beef4d2337,Riesling,White,Riesling,Nahe,Dessert,3,"honey, pineapple, peach, lychee",Sweet,Light,Low,Smooth,Medium,Clear,,Gold,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Schloss Johannisberg Riesling Spatlese,White,Riesling,,,4,"pear, lemon, petroleum, jasmine, honey",Sweet,Medium Full,Moderate,Fresh,Pale,Clear,2017.0,Straw Yellow,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Nuits-Saint-Georges 1er Cru Aux Bousselots,Red,Pinot Noir,Premier Cru,,3,"strawberry, rose, violet, vanilla, cinnamon, cigar, white-pepper, oak, ginger, meaty",Dry,Light,Aromatic,Smooth,Medium,Clear,2017.0,Ruby,Soft
91cf68cc-9436-43e1-871d-33beef4d2337,Chardonnay,White,Chardonnay,Napa Valley,RichWhite,2,"vanilla, pineapple, cream, smoke",Dry,Light,Moderate,Smooth,Medium,Clear,2018.0,Straw Yellow,Round
91cf68cc-9436-43e1-871d-33beef4d2337,AIX Rose Provence 2019 France Blended,Rose,"Cinsault, Shiraz/Syrah, Grenache",,Rosé,3,"honey, apple, banana, date",Dry,Light,Aromatic,Crisp,Medium,Clear,2019.0,Salmon,Soft
37239e04-c632-4373-805f-25d85ee1c9f0,La Cerbaiola ,Red,Sangiovese,,,5,red-cherry,Bone Dry,Medium Full,Aromatic,Crisp,Medium,Clear,2016.0,Ruby,Round
d229f371-d36c-4e52-8806-fdd41896c689,Chateauneuf-Du-Pape,Red,,,,4,,Medium Sweet,Medium Full,Aromatic,Fresh,,Slight Haze,,,Round
23b6603a-928c-4e54-9c34-bdf3dcb45435,Bardolino,Red,,,,4,"blackcurrant, raspberry",Bone Dry,,Moderate,Crisp,Pale,Clear,2020.0,Ruby,Soft
23b6603a-928c-4e54-9c34-bdf3dcb45435,Gewurztraminer,Red,,Gewurztraminer,SweetWhite,5,,Dry,Medium Full,,Crisp,Medium,Clear,2020.0,Greenish,Soft
0a23a07a-8556-4ef6-85ee-d996f8ed619e,Talò Primitivo - Merlot,Red,"Primitivo, Merlot",,BoldRed,4,"tobacco, plum, black-pepper, chocolate, fig",Dry,Full Bodied,Powerful,Smooth,Dark,Slight Haze,2019.0,Ruby,Round
a965be29-83c9-47b7-a5b3-82d99180cf98,Brut Rosé,Rose,"Pinot Noir, Gamay, Chenin Blanc",California,Sparkling,4,,Medium Sweet,Full Bodied,Moderate,Fresh,Pale,Clear,,Salmon,Round
0cfb0f1f-1b20-48b4-bd0a-309609f865eb,Neuburger 2019,White,,,LightWhite,4,,Dry,,Moderate,Smooth,Medium,Clear,2019.0,Straw Yellow,
877019f9-3c77-491d-912e-58b2404aed47,Chianti,Red,Sangiovese,Chianti,MediumRed,1,,Dry,Very Light,Low,Flabby,Pale,Clear,,Purplish,Soft
877019f9-3c77-491d-912e-58b2404aed47,Chianti,Red,Sangiovese,Chianti,MediumRed,2,,,,,,,,,,
976ec198-048f-405c-b6e6-b17ee1db1139,Ripassa Valpolicella Ripasso Superiore,Red,"Corvina Veronese, Merlot, Corvina, Rondinella, Molinara, Corvinone, Oseleta",Valpolicella Ripasso,,4,"cherry, plum, redcurrant, cranberry",Bone Dry,Medium Full,Aromatic,Fresh,Medium,Clear,2018.0,Ruby,Dry Tannins
976ec198-048f-405c-b6e6-b17ee1db1139,Nebbiolo d alba superiore,Red,Nebbiolo,Nebbiolo d'Alba ,MediumRed,4,"cherry, plum, liquorice, toast, smoke, vanilla",Bone Dry,Medium Full,Aromatic,Fresh,Medium,Clear,,Ruby,Dry Tannins
dd7e04c1-987c-4520-9ab5-c90e86b7dfe1,Les Folastries Gewürztraminer,White,Gewürztraminer,Alsace,SweetWhite,4,,Medium Sweet,Full Bodied,Aromatic,Fresh,,Clear,2016.0,,Not Present
23e67c7f-2388-4d25-b2a0-e5c119f3ba89,Rose,Rose,,,,4,Праскова,Dry,Full Bodied,Moderate,Tart,Medium,Clear,2020.0,Pink,Dry Tannins
f96944e4-6672-4ff4-beed-96d17801d495,Morellino di Scansano DOCG terre di talamo,Red,,,,4,,Bone Dry,Full Bodied,Aromatic,Crisp,Dark,Clear,2011.0,Ruby,Round
ce15f400-8bb8-4f99-9a8f-d8f4408641fe,Grillo,White,Grillo,Terre Siciliane,,4,lemon,Medium Sweet,,Aromatic,Fresh,Medium,Slight Haze,,Straw Yellow,Round
ce15f400-8bb8-4f99-9a8f-d8f4408641fe,Tenuta Guado al Tasso Il Bruciato Bolgheri,Red,"Cabernet Sauvignon, Merlot, Sangiovese, Shiraz/Syrah",Bolgheri,,4,"cherry, raspberry",Sweet,,Aromatic,Fresh,Medium,Slight Haze,,Ruby,Dry Tannins
3da6eec4-bd99-4370-be23-676baf750f19,Rascal,Red,,,,5,,,Light,Moderate,,Medium,Clear,2019.0,Purplish,
3da6eec4-bd99-4370-be23-676baf750f19,Napa Valley Fumé Blanc,White,,,,4,,Dry,,,Crisp,,Clear,2018.0,,
3da6eec4-bd99-4370-be23-676baf750f19,Monterey Pinot Noir,Rose,,,,2,,,,,,,,2018.0,,
5bce85c2-b3c7-401f-b77b-992df3544479,Corte del lupo,Red,,,,4,,,Full Bodied,Aromatic,,Medium,Slight Haze,,Purplish,
5bce85c2-b3c7-401f-b77b-992df3544479,Bolgheri stupore,Red,,,MediumRed,3,,,Medium Full,Moderate,,Dark,Clear,,Ruby,
5bce85c2-b3c7-401f-b77b-992df3544479,Pinot noir San Mischael eppan,Red,,,,3,,Bone Dry,Medium Full,Moderate,Crisp,Dark,Clear,,Ruby,
2b88ef27-7d56-4414-9c00-b23851f336d2,refosco Bole,Red,,,,4,,Medium Sweet,Medium Full,,Crisp,Medium,Slight Haze,2017.0,Purplish,Round
29d44213-2153-405c-9874-87257a3a952f,8 Years in The Desert,Red,Zinfandel,,BoldRed,5,"persimmon, black-pepper, white-pepper, raspberry, fig, cloves",Dry,Medium Full,Aromatic,Fresh,Dark,Slight Haze,2018.0,Purplish,Round
eadb1fb9-7260-4618-aa5a-8f2ebdca2077,Quid Pro Quo - tinto red blend,Red,,,,4,"strawberry, red-plum, cranberry, green-pepper, dried-apple",Dry,Full Bodied,Moderate,Fresh,Medium,Clear,,Purplish,Round
eadb1fb9-7260-4618-aa5a-8f2ebdca2077,Paulucci Malbec (Angel Paulucci Vineyard),Red,Malbec,Mendoza,BoldRed,4,"tobacco, caramel",Dry,Full Bodied,Powerful,Smooth,Dark,Clear,,Purplish,Soft
eadb1fb9-7260-4618-aa5a-8f2ebdca2077,Bread & Butter Pinor Noir 2020,Red,Pinot Noir,,LightRed,1,"pineapple, lychee, pear, honeysuckle, hibiscus, rubber, coconut",Sweet,Light,Low,Crisp,Medium,Clear,,Garnet,Soft
ccdd1b9a-2056-4d76-b922-f427b7932ba7,Casa Rossa Rosso,Red,Nebbiolo,Piemonte,BoldRed,4,,Dry,Full Bodied,,Crisp,,Slight Haze,,,Dry Tannins
018ad2f2-d320-46c2-8eff-56af0c2ac2b8,Cinque Terre Sciacchetrà Riserva,Red,,Cinque Terre,,5,,Sweet,,,,,,,,
018ad2f2-d320-46c2-8eff-56af0c2ac2b8,Merlot,Red,Merlot,Valle de Parras,MediumRed,5,,,Medium Full,Aromatic,,,Slight Haze,,,Round
018ad2f2-d320-46c2-8eff-56af0c2ac2b8,Muller Thurgau Trentino,White,Müller-Thurgau,Trentino,,5,,,,Moderate,Fresh,,Cloudy,,,
595d2e23-9c80-4c9b-aae0-2a6cb4eeae2b,nebbiolo,Red,Nebbiolo,Valtellina Rosso o Rosso di Valtellina,BoldRed,3,"red-plum, fig",Dry,Light,Moderate,Crisp,Pale,Clear,2020.0,Ruby,Round
3b1f7bc8-6a23-47e5-97df-043bd1b97f12,White cava,White,Sauvignon Blanc,Bourgogne,,2,"grape, cranberry",Medium Sweet,Light,Aromatic,Fresh,,Slight Haze,,,Round
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brachetto Piemonte,White,Brachetto,Piemonte,,4,"Apple, Grapefruit",Sweet,Light,Moderate,Fresh,Medium,Clear,2017.0,Ruby,Soft
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brachetto Piemonte,White,Brachetto,Piemonte,,4,,Medium Sweet,Medium Full,Moderate,Smooth,Medium,Cloudy,2017.0,Straw Yellow,Round
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brachetto Piemonte,White,Brachetto,Piemonte,,3,,Dry,Full Bodied,Moderate,Smooth,,,2017.0,Amber,Round
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Sauvignon,White,Sauvignon Blanc,Friuli Colli Orientali,,4,,Dry,Light,Aromatic,Fresh,Medium,Clear,2017.0,Greenish,Not Present
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Friulano,White,,Collio,,4,,Dry,Light,Aromatic,Crisp,Medium,Slight Haze,2017.0,Straw Yellow,
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Ribolla Cormons,White,Ribolla Gialla,Collio,,4,"lemon, banana, Fiori Semplici",Medium Sweet,Medium Full,Aromatic,Crisp,Medium,Clear,2017.0,Greenish,Not Present
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Ale Pinot Nero Alto Adige,Red,Pinot Nero,Südtirol - Alto Adige,LightRed,4,"lemon, pineapple",Sweet,Full Bodied,Aromatic,Fresh,Dark,Slight Haze,,Garnet,Dry Tannins
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio,White,Pinot Grigio,Colli Orientali del Friuli,LightWhite,4,"vanilla, banana",Dry,Light,Powerful,Fresh,Dark,Clear,,Gold,Dry
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio,White,Pinot Grigio,Colli Orientali del Friuli,LightWhite,3,"banana, vanilla",Dry,Medium Full,Powerful,Fresh,Medium,Clear,,Gold,Not Present
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio,White,Pinot Grigio,Colli Orientali del Friuli,LightWhite,4,vanilla,Medium Sweet,Medium Full,Aromatic,Crisp,Dark,Cloudy,,Brownish,Not Present
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio,White,Pinot Grigio,Colli Orientali del Friuli,LightWhite,4,vanilla,Dry,Medium Full,Powerful,Fresh,Pale,Clear,,Gold,Not Present
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Merlot,Red,Merlot,Isonzo del Friuli,,3,,Dry,Full Bodied,Aromatic,Fresh,Dark,Slight Haze,2016.0,Ruby,Dry Tannins
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Refosco dal peduncolo rosso,Red,Refosco,Venezia Giulia,,4,apple,Medium Sweet,Full Bodied,Aromatic,Smooth,Dark,Slight Haze,2016.0,Ruby,Dry Tannins
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brunello di Montalcino Riserva Vigna Paganelli,Red,Sangiovese,Brunello di Montalcino,MediumRed,4,,Dry,Full Bodied,Moderate,Fresh,,Cloudy,,,Dry Tannins
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brunello di Montalcino Riserva Vigna Paganelli,Red,Sangiovese,Brunello di Montalcino,MediumRed,4,,Bone Dry,Full Bodied,Aromatic,Smooth,Medium,Slight Haze,,Purplish,Dry Tannins
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brunello di Montalcino Riserva Vigna Paganelli,Red,Sangiovese,Brunello di Montalcino,MediumRed,4,,Bone Dry,Full Bodied,Aromatic,Smooth,Medium,Slight Haze,,Purplish,Dry Tannins
1b4a91f7-a311-4db0-a5b1-867736c951fe,I muri primitivo,Red,,,,3,,,,Aromatic,,Medium,Cloudy,2021.0,Garnet,
1b4a91f7-a311-4db0-a5b1-867736c951fe,Red (Winemaker's Blend),Red,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Zinfandel",California,,3,"cedar, raspberry, red-plum",Dry,Full Bodied,Powerful,Flabby,Medium,Cloudy,,Purplish,Hard
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Terrano,Red,Terrano,Carso,MediumRed,1,"redcurrant, grapefruit, smoke",,Light,Aromatic,Smooth,Medium,Slight Haze,,Ruby,Soft
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Bollicina,White,,Carso,Sparkling,2,lime,Dry,Light,Moderate,Smooth,Pale,Clear,,Straw Yellow,
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Chardonnay,White,,,,4,"peach, jasmine",Medium Sweet,,Aromatic,Fresh,Medium,Clear,2017.0,Gold,
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Vitovska acciaio,White,Vitovska,Carso,SweetWhite,3,nectarine,Medium Sweet,Medium Full,Aromatic,Fresh,Medium,Slight Haze,,Straw Yellow,
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Terrano,Red,Terrano,Carso,MediumRed,3,,Bone Dry,Medium Full,Moderate,Tart,Medium,Cloudy,2018.0,Ruby,Soft
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Vitovska acciaio,White,Vitovska,Carso,SweetWhite,3,,Medium Sweet,Light,Moderate,Crisp,Pale,Clear,2019.0,Straw Yellow,Not Present
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Pinotage,Red,Pinotage,Western Cape,BoldRed,3,,,,,,Medium,,,Ruby,
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Torchio,White,,,,4,forest-floor,Medium Sweet,Full Bodied,Aromatic,Smooth,Medium,Cloudy,2012.0,Gold,Dry Tannins
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Torchio,White,,,,3,,,Full Bodied,Powerful,Smooth,,Slight Haze,2012.0,,
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Malvasia legno,White,Malvasia,Carso,SweetWhite,3,tobacco,Dry,Light,Moderate,Fresh,Pale,Clear,2018.0,Straw Yellow,Soft
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Vernaccia,White,Vernaccia,Sardegna,,4,"red-cherry, orange-peel",,,Aromatic,,Pale,Cloudy,,Straw Yellow,Dry Tannins
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Sauvignon,White,Sauvignon Blanc,Collio,LightWhite,4,"green-ball-pepper, cat-pee",Dry,Very Light,Aromatic,Fresh,Pale,Clear,,Straw Yellow,Not Present
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Malvasia,White,Malvasia,Carso,SweetWhite,5,"lemon-peel, hawthorn",Medium Sweet,Very Light,Moderate,Crisp,Pale,Slight Haze,,Gold,Not Present
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Bollicina,White,,Carso,Sparkling,4,,Dry,Light,Low,Fresh,Pale,Clear,2020.0,Straw Yellow,Not Present
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Bollicina,White,,Carso,Sparkling,4,,Dry,Very Light,Moderate,Crisp,Pale,Clear,2020.0,Straw Yellow,Not Present
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,KK Brut Rosé,Rose,Pinot Noir,Carso,Sparkling,4,pineapple,Medium Sweet,Medium Full,Aromatic,Smooth,Dark,Slight Haze,,Pink,Dry Tannins
defee34b-7775-4889-b703-92b730d85e70,meeker,Red,,,,5,"cherry, blueberry",Dry,Medium Full,Aromatic,Crisp,Medium,Slight Haze,2018.0,Ruby,Round
defee34b-7775-4889-b703-92b730d85e70,Zamò Bianco,White,"Riesling, Sauvignon Blanc, Ribolla Gialla, Pinot Grigio, Tocai Friulano",Friuli-Venezia Giulia,,5,,,,Aromatic,,,Clear,,Gold,
defee34b-7775-4889-b703-92b730d85e70,Vitovska Collection,White,Vitovska,Carso,SweetWhite,4,apricot,Dry,Medium Full,Aromatic,Smooth,Medium,Slight Haze,,Gold,Soft
defee34b-7775-4889-b703-92b730d85e70,Malvasia,White,Malvasia,Carso,SweetWhite,4,"gooseberry, lemon-peel",Dry,Medium Full,Aromatic,Fresh,Medium,Clear,,Gold,Round
defee34b-7775-4889-b703-92b730d85e70,Sylvaner,White,Sylvaner,Südtirol - Alto Adige,,4,"gooseberry, grapefruit, violet",Dry,Medium Full,Aromatic,Crisp,,Clear,,Gold,Not Present
defee34b-7775-4889-b703-92b730d85e70,Ribolla,White,,,,3,"cherry, apricot",Medium Sweet,,Moderate,Fresh,Pale,Clear,,Straw Yellow,Soft
defee34b-7775-4889-b703-92b730d85e70,I Saltari Valpolicella Superiore,Red,"Corvina, Rondinella, Croatina, Corvinone",Valpolicella,,5,,Bone Dry,,Powerful,Crisp,Medium,Slight Haze,,Purplish,Dry Tannins
defee34b-7775-4889-b703-92b730d85e70,Terrarosa,Rose,,,,4,"strawberry, redcurrant",Dry,Medium Full,Aromatic,Crisp,Pale,Clear,2020.0,Salmon,Soft
defee34b-7775-4889-b703-92b730d85e70,Alturis,White,Chardonnay,,,4,gooseberry,Dry,Medium Full,Moderate,Fresh,Pale,Clear,2021.0,Straw Yellow,Not Present
defee34b-7775-4889-b703-92b730d85e70,Sauvignon,White,Sauvignon Blanc,Collio,LightWhite,5,"pineapple, passion-fruit, jasmine",Dry,Medium Full,Aromatic,Fresh,Pale,Clear,,Straw Yellow,Soft
4e9cb62e-a165-484b-ad78-cb215523cdd5,Le sol,Red,,,,5,"strawberry, redcurrant, red-plum, boysenberry, peach, bubblegum",Medium Sweet,Medium Full,Powerful,Smooth,Medium,Slight Haze,2018.0,Garnet,Round
87609866-dc17-4eb7-884f-b6bdfb80d20c,Rosso di Montepulciano,Red,Montepulciano,Rosso di Montepulciano,MediumRed,4,,Dry,Medium Full,Aromatic,Crisp,Medium,Slight Haze,2018.0,Ruby,Round
